open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,9.33789556,9.34107449,9.33741192,9.34106322,0,1672531259999,0,60,0,0,0
1672531260000,9.34106322,9.34138331,9.33882610,9.33922757,0,1672531319999,0,60,0,0,0
1672531320000,9.33919922,9.34229483,9.33919330,9.34200000,0,1672531379999,0,60,0,0,0
1672531380000,9.34200000,9.34200000,9.33900000,9.33900000,0,1672531439999,0,60,0,0,0
1672531440000,9.33900000,9.34306869,9.33900000,9.34192198,0,1672531499999,0,60,0,0,0
1672531500000,9.34194516,9.34879785,9.34194516,9.34817855,0,1672531559999,0,60,0,0,0
1672531560000,9.34829406,9.35600000,9.34829406,9.35600000,0,1672531619999,0,60,0,0,0
1672531620000,9.35600000,9.36600000,9.35600000,9.36500000,0,1672531679999,0,60,0,0,0
1672531680000,9.36500000,9.36500000,9.36298260,9.36301285,0,1672531739999,0,60,0,0,0
1672531740000,9.36301285,9.36304003,9.36163267,9.36297605,0,1672531799999,0,60,0,0,0
1672531800000,9.36400000,9.37500000,9.36400000,9.37351657,0,1672531859999,0,60,0,0,0
1672531860000,9.37351657,9.39500000,9.37347654,9.38700000,0,1672531919999,0,60,0,0,0
1672531920000,9.38700000,9.38700000,9.37700000,9.37700000,0,1672531979999,0,60,0,0,0
1672531980000,9.37700000,9.37700000,9.37001654,9.37122055,0,1672532039999,0,60,0,0,0
1672532040000,9.37126517,9.37498796,9.37126517,9.37300000,0,1672532099999,0,60,0,0,0
1672532100000,9.37300000,9.39454843,9.37197404,9.39400000,0,1672532159999,0,60,0,0,0
1672532160000,9.39400000,9.41300000,9.39400000,9.40477823,0,1672532219999,0,60,0,0,0
1672532220000,9.40467821,9.40497899,9.39896950,9.39934435,0,1672532279999,0,60,0,0,0
1672532280000,9.39819114,9.39819114,9.38328452,9.38424642,0,1672532339999,0,60,0,0,0
1672532340000,9.38424586,9.38491925,9.38368129,9.38410999,0,1672532399999,0,60,0,0,0
1672532400000,9.38410997,9.38470662,9.37553017,9.37819734,0,1672532459999,0,60,0,0,0
1672532460000,9.37857812,9.37857812,9.37500000,9.37500000,0,1672532519999,0,60,0,0,0
1672532520000,9.37500000,9.37500000,9.36703497,9.36703497,0,1672532579999,0,60,0,0,0
1672532580000,9.36699575,9.36716820,9.36370300,9.36518274,0,1672532639999,0,60,0,0,0
1672532640000,9.36518274,9.36553787,9.36448714,9.36537658,0,1672532699999,0,60,0,0,0
